Type of Account,Account History,Reason for the Loan,Loan Amount,Account Savings,Employment History,Individual Stauts,Other Loans,Security / Collateral,Age,Residence Status,Job,Completed Other loan?,Good Loan
Type A,Good,Support for Business,4606,1000+,2-5 Years,Male,No,Savings Account,52,House Owner,Professional / Management,No,No
Type A,Good,Buying a Used Car,1416,1000+,5-7 Years,Male,No,Savings Account,54,House Owner,Skilled Labor,Yes,Yes
Type A,Good,TV,3850,No Data,7+ Years,Female,No,Property - Real Estate,45,House Owner,Services,No,Yes
Type A,Good,Buying a New Car,1374,0-200,2-5 Years,Female,No,Vehicle,65,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,716,0-200,2-5 Years,Male,No,Property - Real Estate,29,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a Used Car,4667,0-200,2-5 Years,Male,No,Vehicle,28,House Owner,Skilled Labor,No,Yes
Type A,Good,Renovation,2618,0-200,2-5 Years,Male,No,Vehicle,29,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,1487,0-200,5-7 Years,Male,No,Vehicle,21,House Owner,Skilled Labor,No,No
Type A,Good,Buying a New Car,2511,500-1000,7+ Years,Male,No,No Security,49,Free,Services,No,Yes
Type A,Good,TV,2158,200-500,5-7 Years,Male,No,No Security,34,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,1605,0-200,5-7 Years,Male,No,Savings Account,49,House Owner,Skilled Labor,No,Yes
Type A,Good,Support for Business,1261,0-200,5-7 Years,Male,No,Property - Real Estate,24,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a Used Car,3819,200-500,0-2 Years,Female,No,Vehicle,25,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,1551,0-200,0-2 Years,Female,No,Vehicle,37,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,1019,No Data,7+ Years,Male,No,Vehicle,27,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a New Car,2680,No Data,5-7 Years,Male,No,Savings Account,32,House Owner,Skilled Labor,Yes,Yes
Type A,Good,TV,2700,0-200,2-5 Years,Male,No,Property - Real Estate,31,House Owner,Skilled Labor,No,Yes
Type A,Good,Home furniture,4628,0-200,0-2 Years,Female,No,Savings Account,32,House Owner,Skilled Labor,No,No
Type A,Good,Home furniture,1587,0-200,2-5 Years,Male,No,Property - Real Estate,51,House Owner,Skilled Labor,No,Yes
Type A,Good,Support for Business,1088,0-200,2-5 Years,Married,No,Property - Real Estate,26,House Owner,Skilled Labor,Yes,Yes
Type A,Good,Buying a New Car,1301,No Data,7+ Years,Male,Yes,Savings Account,45,House Owner,Services,Yes,Yes
Type A,Good,Home furniture,2518,0-200,2-5 Years,Male,No,Property - Real Estate,44,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a New Car,673,0-200,Unemployed,Female,No,Property - Real Estate,54,House Owner,Not Employed,No,Yes
Type A,Good,Home furniture,1553,1000+,2-5 Years,Divorced,No,Property - Real Estate,31,House Owner,Skilled Labor,No,Yes
Type A,Good,Home furniture,5525,200-500,2-5 Years,Male,No,Vehicle,24,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a New Car,1533,1000+,5-7 Years,Female,No,Vehicle,34,House Owner,Skilled Labor,No,Yes
Type A,Good,Learning / Edu purposes,730,500-1000,7+ Years,Male,No,No Security,44,Free,Skilled Labor,No,Yes
Type A,Good,TV,792,0-200,2-5 Years,Married,No,Property - Real Estate,30,House Owner,Skilled Labor,No,Yes
Type A,Good,Support for Business,1550,0-200,5-7 Years,Male,No,Vehicle,34,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a New Car,3085,No Data,2-5 Years,Male,No,Property - Real Estate,35,House Owner,Skilled Labor,No,Yes
Type A,Good,Support for Business,1464,0-200,5-7 Years,Female,No,Vehicle,29,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a New Car,1831,0-200,2-5 Years,Married,No,Savings Account,31,House Owner,Professional / Management,No,Yes
Type A,Good,TV,1475,0-200,0-2 Years,Married,No,Property - Real Estate,38,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,3251,500-1000,7+ Years,Divorced,No,Vehicle,24,House Owner,Professional / Management,No,Yes
Type A,Good,Buying a New Car,2800,500-1000,5-7 Years,Female,No,Vehicle,30,House Owner,Professional / Management,No,Yes
Type A,Good,Home furniture,1328,0-200,7+ Years,Male,No,Vehicle,21,House Owner,Skilled Labor,No,Yes
Type A,Good,Support for Business,3465,0-200,5-7 Years,Male,No,Property - Real Estate,72,House Owner,Services,No,Yes
Type A,Good,Buying a New Car,1896,0-200,7+ Years,Male,No,Vehicle,38,House Owner,Professional / Management,No,Yes
Type A,Good,Learning / Edu purposes,720,0-200,7+ Years,Male,No,Vehicle,40,House Owner,Services,No,No
Type A,Good,TV,534,0-200,2-5 Years,Female,No,Property - Real Estate,27,House Owner,Skilled Labor,No,Yes
Type A,Good,Home furniture,2777,0-200,7+ Years,Male,No,Savings Account,34,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a Used Car,2684,0-200,7+ Years,Male,No,Vehicle,34,House Owner,Professional / Management,No,Yes
Type A,Good,Buying a Used Car,2689,0-200,0-2 Years,Female,No,No Security,30,House Owner,Professional / Management,No,Yes
Type A,Good,TV,4614,0-200,0-2 Years,Male,No,Vehicle,32,House Owner,Skilled Labor,No,Yes
Type A,Good,Support for Business,1965,0-200,5-7 Years,Male,No,Vehicle,32,House Owner,Skilled Labor,No,Yes
Type A,Good,Advance Edu/training,1242,No Data,Unemployed,Male,No,Savings Account,37,House Owner,Professional / Management,No,Yes
Type A,Good,Buying a Used Car,2579,500-1000,2-5 Years,Male,No,Vehicle,23,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,3079,0-200,2-5 Years,Male,No,Vehicle,50,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a New Car,3761,0-200,7+ Years,Female,Yes,No Security,60,Free,Skilled Labor,No,Yes
Type A,Good,Buying a New Car,1319,No Data,2-5 Years,Male,Yes,Savings Account,29,House Owner,Services,No,No
Type A,Good,TV,1425,0-200,2-5 Years,Married,No,Savings Account,29,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a Used Car,8604,200-500,7+ Years,Male,No,Vehicle,46,House Owner,Professional / Management,No,Yes
Type A,Good,Buying a Used Car,4699,0-200,2-5 Years,Male,No,No Security,33,Free,Professional / Management,No,Yes
Type A,Good,Buying a New Car,2265,No Data,0-2 Years,Male,No,Savings Account,54,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a Used Car,3502,200-500,5-7 Years,Female,No,Vehicle,24,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,1317,200-500,5-7 Years,Married,No,Savings Account,26,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,3121,No Data,0-2 Years,Male,No,Vehicle,26,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,1554,0-200,5-7 Years,Male,No,Vehicle,34,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a New Car,5007,No Data,2-5 Years,Female,No,Savings Account,27,House Owner,Skilled Labor,No,No
Type A,Good,Advance Edu/training,944,0-200,0-2 Years,Married,No,Vehicle,25,House Owner,Services,No,Yes
Type A,Good,Buying a New Car,2146,No Data,7+ Years,Female,No,No Security,50,Free,Professional / Management,No,Yes
Type A,Good,Support for Business,1592,1000+,7+ Years,Female,No,Property - Real Estate,34,House Owner,Services,No,Yes
Type A,Good,Home furniture,3369,0-200,2-5 Years,Female,No,Vehicle,30,House Owner,Professional / Management,No,No
Type A,Good,TV,2055,0-200,0-2 Years,Male,No,Property - Real Estate,33,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a Used Car,1310,No Data,7+ Years,Male,No,No Security,45,Free,Skilled Labor,No,Yes
Type A,Good,Buying a New Car,651,0-200,2-5 Years,Divorced,No,Property - Real Estate,47,House Owner,Services,No,Yes
Type A,Good,Support for Business,3915,No Data,2-5 Years,Divorced,No,Property - Real Estate,38,House Owner,Skilled Labor,No,No
Type A,Good,TV,1992,No Data,7+ Years,Male,No,Vehicle,37,House Owner,Skilled Labor,No,Yes
Type A,Good,Learning / Edu purposes,3838,No Data,7+ Years,Male,No,Property - Real Estate,65,House Owner,Services,No,Yes
Type A,Good,Learning / Edu purposes,1396,0-200,7+ Years,Male,No,Savings Account,45,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,1379,500-1000,5-7 Years,Female,No,Vehicle,29,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,1513,0-200,0-2 Years,Female,No,Vehicle,36,House Owner,Skilled Labor,No,Yes
Type A,Good,Learning / Edu purposes,4635,200-500,2-5 Years,Male,No,Savings Account,42,House Owner,Professional / Management,No,No
Type A,Good,Buying a New Car,1387,500-1000,2-5 Years,Female,No,Savings Account,26,House Owner,Skilled Labor,No,No
Type A,Good,TV,10228,No Data,5-7 Years,Male,No,Vehicle,38,House Owner,Skilled Labor,No,Yes
Type A,Good,Home furniture,2244,0-200,7+ Years,Male,No,Property - Real Estate,48,House Owner,Skilled Labor,No,Yes
Type A,Good,Support for Business,5746,200-500,5-7 Years,Male,No,Vehicle,30,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a New Car,10375,0-200,7+ Years,Male,No,Savings Account,44,House Owner,Professional / Management,No,Yes
Type A,Good,TV,1459,0-200,0-2 Years,Female,No,Property - Real Estate,26,House Owner,Skilled Labor,No,Yes
Type A,Good,Learning / Edu purposes,1551,0-200,0-2 Years,Female,No,No Security,57,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,2284,No Data,2-5 Years,Male,No,No Security,39,Free,Skilled Labor,No,Yes
Type A,Good,Buying a New Car,6546,No Data,2-5 Years,Male,No,No Security,33,Free,Skilled Labor,No,Yes
Type A,Good,TV,2757,200-500,7+ Years,Male,Yes,Vehicle,37,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,2289,0-200,5-7 Years,Male,No,Vehicle,27,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a New Car,5336,500-1000,7+ Years,Female,No,No Security,36,Free,Skilled Labor,No,Yes
Type A,Good,Buying a Used Car,2487,No Data,7+ Years,Male,No,Property - Real Estate,45,House Owner,Professional / Management,No,Yes
Type A,Good,TV,1516,0-200,2-5 Years,Male,No,No Security,33,Free,Professional / Management,No,Yes
Type A,Good,TV,3170,No Data,7+ Years,Male,No,Savings Account,39,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a Used Car,5249,No Data,2-5 Years,Male,No,Vehicle,25,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a Used Car,3044,0-200,5-7 Years,Male,No,Vehicle,34,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a New Car,1397,0-200,2-5 Years,Male,Yes,Property - Real Estate,31,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,2676,500-1000,7+ Years,Male,No,Vehicle,41,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a Used Car,6326,No Data,7+ Years,Male,No,Vehicle,42,House Owner,Professional / Management,No,Yes
Type A,Good,Home Devices,1341,500-1000,2-5 Years,Divorced,No,Property - Real Estate,64,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a New Car,1110,0-200,2-5 Years,Married,No,Property - Real Estate,29,House Owner,Skilled Labor,No,Yes
Type A,Good,Support for Business,4184,0-200,2-5 Years,Male,No,Vehicle,34,House Owner,Skilled Labor,No,No
Type A,Good,TV,891,No Data,2-5 Years,Female,No,Vehicle,21,House Owner,Skilled Labor,No,Yes
Type A,Good,Renovation,1944,0-200,0-2 Years,Female,No,Property - Real Estate,25,House Owner,Skilled Labor,No,No
Type A,Good,Home furniture,3434,0-200,7+ Years,Male,No,Savings Account,46,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a New Car,1251,0-200,0-2 Years,Married,No,Property - Real Estate,28,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a New Car,1493,200-500,0-2 Years,Married,No,Property - Real Estate,31,House Owner,Skilled Labor,No,Yes
Type A,Good,Advance Edu/training,905,No Data,5-7 Years,Female,No,Savings Account,39,House Owner,Skilled Labor,No,Yes
Type A,Good,Support for Business,7422,No Data,7+ Years,Male,No,Savings Account,37,House Owner,Skilled Labor,No,Yes
Type A,Good,Home Devices,893,No Data,0-2 Years,Female,No,Property - Real Estate,26,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,3597,0-200,7+ Years,Male,No,Vehicle,28,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a Used Car,7818,0-200,5-7 Years,Male,No,Vehicle,39,House Owner,Professional / Management,No,Yes
Type A,Good,Buying a Used Car,9292,No Data,2-5 Years,Divorced,No,No Security,50,Free,Skilled Labor,No,Yes
Type A,Good,TV,1286,0-200,7+ Years,Male,No,Property - Real Estate,36,House Owner,Professional / Management,No,Yes
Type A,Good,Support for Business,2143,1000+,7+ Years,Divorced,No,Property - Real Estate,29,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a Used Car,2855,200-500,2-5 Years,Male,Yes,Property - Real Estate,33,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,1868,No Data,7+ Years,Male,No,Vehicle,58,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a New Car,3537,No Data,0-2 Years,Male,No,Savings Account,45,House Owner,Professional / Management,No,Yes
Type A,Good,Buying a New Car,1549,0-200,2-5 Years,Male,No,Property - Real Estate,29,House Owner,Services,Yes,Yes
Type A,Good,Home furniture,941,No Data,5-7 Years,Male,No,Vehicle,31,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a New Car,2878,No Data,Unemployed,Male,No,No Security,38,House Owner,Professional / Management,No,Yes
Type A,Good,Home furniture,1540,0-200,0-2 Years,Married,Yes,Savings Account,41,House Owner,Services,No,No
Type A,Good,TV,3636,200-500,7+ Years,Male,No,Vehicle,32,House Owner,Skilled Labor,No,No
Type A,Good,Home furniture,10989,0-200,Unemployed,Female,No,Vehicle,28,House Owner,Professional / Management,No,No
Type A,Good,Buying a New Car,3575,No Data,2-5 Years,Male,No,No Security,29,House Owner,Skilled Labor,No,Yes
Type A,Good,TV,2409,500-1000,7+ Years,Male,No,Vehicle,36,House Owner,Skilled Labor,No,No
Type A,Good,Buying a New Car,7407,0-200,2-5 Years,Male,No,Savings Account,42,House Owner,Services,No,Yes
Type A,Good,TV,1423,200-500,Unemployed,Female,No,Property - Real Estate,64,House Owner,Skilled Labor,No,Yes
Type A,Good,Buying a New Car,2410,No Data,7+ Years,Male,No,Vehicle,51,House Owner,Skilled Labor,No,Yes
Type A,Good,Home furniture,1746,0-200,5-7 Years,Female,No,Property - Real Estate,29,House Owner,Services,No,Yes
Type A,Good,TV,820,0-200,7+ Years,Male,No,Vehicle,40,House Owner,Skilled Labor,No,Yes
Type B,Good,TV,5964,0-200,2-5 Years,Female,No,Property - Real Estate,24,House Owner,Skilled Labor,Yes,No
Type B,Good,Buying a Used Car,6949,0-200,2-5 Years,Male,No,Vehicle,36,Renting,Professional / Management,No,Yes
Type B,critical,Buying a New Car,5252,0-200,Unemployed,Married,No,Vehicle,30,House Owner,Professional / Management,No,No
Type B,Good,Buying a New Car,1303,0-200,0-2 Years,Female,No,Vehicle,26,Renting,Skilled Labor,No,No
Type B,Good,TV,1586,0-200,2-5 Years,Female,No,Vehicle,22,House Owner,Skilled Labor,No,Yes
Type B,Good,Buying a Used Car,12588,0-200,7+ Years,Female,No,No Security,44,Free,Professional / Management,No,No
Type B,critical,Buying a Used Car,1818,200-500,0-2 Years,Male,No,Savings Account,43,House Owner,Skilled Labor,No,Yes
Type B,Good,TV,2428,0-200,2-5 Years,Male,Yes,Property - Real Estate,34,House Owner,Skilled Labor,No,Yes
Type B,Good,Support for Business,1926,1000+,0-2 Years,Married,No,Property - Real Estate,38,House Owner,Skilled Labor,No,Yes
Type B,Good,Buying a New Car,5868,200-500,2-5 Years,Male,No,Vehicle,30,House Owner,Skilled Labor,No,Yes
Type B,critical,TV,4766,0-200,0-2 Years,Male,No,Savings Account,25,House Owner,Services,No,No
Type B,Good,TV,475,0-200,2-5 Years,Male,No,Property - Real Estate,26,House Owner,Skilled Labor,No,Yes
Type B,Good,TV,1167,500-1000,2-5 Years,Divorced,No,Vehicle,27,House Owner,Skilled Labor,No,Yes
Type B,Average (known delays),Renovation,6210,0-200,2-5 Years,Male,No,Property - Real Estate,42,House Owner,Services,No,No
Type B,Average (known delays),Home furniture,2340,No Data,0-2 Years,Male,No,Savings Account,29,House Owner,Services,No,Yes
Type B,Average (known delays),Buying a Used Car,5980,0-200,7+ Years,Male,No,Vehicle,28,House Owner,Professional / Management,No,No
Type B,Average (known delays),Buying a New Car,2227,0-200,7+ Years,Male,No,No Security,55,Free,Skilled Labor,No,No
Type B,Good,TV,6487,No Data,Unemployed,Male,No,No Security,52,House Owner,Professional / Management,No,No
Type B,Good,Support for Business,1408,0-200,2-5 Years,Married,No,Property - Real Estate,27,House Owner,Skilled Labor,No,Yes
Type B,critical,TV,1545,No Data,7+ Years,Male,Yes,Property - Real Estate,49,House Owner,Skilled Labor,No,Yes
Type B,Good,Support for Business,1963,0-200,7+ Years,Male,No,No Security,59,Free,Professional / Management,No,No
Type B,Good,Support for Business,14423,0-200,2-5 Years,Male,No,Vehicle,27,House Owner,Skilled Labor,No,No
Type B,Good,Buying a New Car,1024,1000+,2-5 Years,Married,No,Property - Real Estate,24,House Owner,Skilled Labor,No,Yes
Type B,critical,Support for Business,5960,0-200,5-7 Years,Female,No,Property - Real Estate,43,House Owner,Services,No,No
Type B,Average (known delays),TV,4781,0-200,5-7 Years,Male,No,Savings Account,52,House Owner,Skilled Labor,No,No
Type B,Good,Home furniture,3851,0-200,0-2 Years,Married,No,Savings Account,20,House Owner,Skilled Labor,No,Yes
Type B,critical,Home furniture,1311,0-200,0-2 Years,Female,No,Savings Account,29,House Owner,Skilled Labor,No,No
Type B,Good,Learning / Edu purposes,12623,200-500,2-5 Years,Male,No,No Security,46,Free,Skilled Labor,No,No
Type B,Good,Buying a New Car,1326,1000+,7+ Years,Male,No,Property - Real Estate,56,House Owner,Skilled Labor,No,Yes
Type B,Good,Support for Business,15950,0-200,0-2 Years,Male,No,No Security,59,Renting,Skilled Labor,No,No
Type B,Good,Support for Business,2633,200-500,2-5 Years,Male,No,Vehicle,36,House Owner,Skilled Labor,No,Yes
Type B,critical,TV,2351,0-200,7+ Years,Male,No,Property - Real Estate,37,House Owner,Skilled Labor,No,No
Type B,Average (known delays),Buying a Used Car,7077,No Data,5-7 Years,Male,No,Savings Account,34,Renting,Professional / Management,No,Yes
Type B,Good,TV,2342,0-200,5-7 Years,Male,No,Vehicle,24,Renting,Skilled Labor,No,Yes
Type B,critical,Home furniture,1921,0-200,5-7 Years,Male,No,Vehicle,34,Renting,Skilled Labor,No,No
Type B,critical,All other,11956,0-200,2-5 Years,Male,Yes,Vehicle,40,House Owner,Professional / Management,No,No
Type B,Good,Buying a New Car,6098,0-200,5-7 Years,Male,No,Vehicle,32,House Owner,Skilled Labor,No,Yes
Type B,Good,Support for Business,1413,500-1000,7+ Years,Married,No,Property - Real Estate,35,House Owner,Skilled Labor,No,Yes
Type B,Average (known delays),Support for Business,1460,200-500,7+ Years,Divorced,No,Vehicle,33,House Owner,Skilled Labor,No,Yes
Type B,Good,Buying a New Car,6274,0-200,5-7 Years,Male,No,Property - Real Estate,29,Renting,Services,No,Yes
Type B,critical,Buying a New Car,2370,500-1000,5-7 Years,Divorced,No,Vehicle,35,House Owner,Professional / Management,No,Yes
Type B,Good,Home furniture,1928,No Data,0-2 Years,Female,No,Property - Real Estate,25,Renting,Skilled Labor,No,No
Type B,Good,Renovation,648,0-200,2-5 Years,Male,No,Vehicle,29,House Owner,Skilled Labor,No,No
Type B,critical,Buying a Used Car,1862,0-200,Unemployed,Male,No,Vehicle,36,House Owner,Professional / Management,No,No
Type B,Good,Buying a New Car,8504,No Data,5-7 Years,Female,No,Vehicle,26,House Owner,Skilled Labor,No,Yes
Type B,Good,TV,782,500-1000,2-5 Years,Male,No,Property - Real Estate,68,House Owner,Services,No,No
Type B,critical,TV,2731,No Data,5-7 Years,Male,Yes,Property - Real Estate,34,House Owner,Skilled Labor,No,Yes
Type B,Good,TV,4801,0-200,0-2 Years,Female,No,No Security,31,House Owner,Professional / Management,No,Yes
Type B,Average (known delays),Support for Business,3581,200-500,5-7 Years,Male,No,Vehicle,32,House Owner,Skilled Labor,No,Yes
Type B,critical,Buying a Used Car,7774,1000+,7+ Years,Female,No,No Security,30,Renting,Skilled Labor,No,Yes
Type B,Average (known delays),Support for Business,6985,200-500,5-7 Years,Male,No,Vehicle,34,Renting,Professional / Management,No,Yes
Type B,Good,Buying a New Car,3527,200-500,5-7 Years,Male,No,Vehicle,40,House Owner,Skilled Labor,No,Yes
Type B,Good,Buying a New Car,7312,0-200,Unemployed,Male,No,No Security,69,Free,Professional / Management,No,Yes
Type B,Good,Home furniture,1579,1000+,0-2 Years,Female,No,Property - Real Estate,22,House Owner,Skilled Labor,No,Yes
Type B,critical,Support for Business,1939,0-200,7+ Years,Divorced,No,Property - Real Estate,32,House Owner,Skilled Labor,No,No
Type B,Average (known delays),Home furniture,2071,0-200,Unemployed,Female,No,Savings Account,36,House Owner,Professional / Management,No,No
Type B,Good,TV,1434,0-200,2-5 Years,Male,Yes,Property - Real Estate,33,House Owner,Skilled Labor,Yes,Yes
Type B,Average (known delays),Support for Business,4459,0-200,2-5 Years,Divorced,No,Property - Real Estate,28,House Owner,Professional / Management,No,No
Type B,critical,Buying a New Car,894,0-200,7+ Years,Male,No,Vehicle,36,House Owner,Skilled Labor,No,No
Type B,Average (known delays),Buying a Used Car,5148,0-200,7+ Years,Female,No,No Security,72,Free,Professional / Management,No,No
Type B,critical,Buying a New Car,1194,0-200,Unemployed,Male,No,Vehicle,66,Free,Not Employed,No,No
Type B,Good,Home furniture,3245,0-200,2-5 Years,Female,No,Vehicle,35,House Owner,Skilled Labor,No,Yes
Type B,Good,Support for Business,3853,200-500,5-7 Years,Male,No,No Security,32,Free,Services,No,No
Type B,Good,Support for Business,3918,0-200,2-5 Years,Male,No,Vehicle,36,House Owner,Skilled Labor,No,No
Type B,Good,TV,3033,200-500,2-5 Years,Male,Yes,Savings Account,22,Renting,Skilled Labor,No,No
Type B,critical,Learning / Edu purposes,1510,0-200,7+ Years,Female,No,Vehicle,33,House Owner,Professional / Management,No,No
Type B,Good,Home furniture,959,200-500,0-2 Years,Female,No,Vehicle,28,Renting,Skilled Labor,No,No
Type B,Good,Buying a Used Car,2771,No Data,7+ Years,Male,No,No Security,37,Free,Skilled Labor,No,Yes
Type B,Average (known delays),Home furniture,4312,0-200,7+ Years,Divorced,No,No Security,42,House Owner,Professional / Management,No,No
Type B,critical,Home Devices,1429,0-200,5-7 Years,Male,No,Savings Account,28,House Owner,Skilled Labor,No,No
Type B,critical,Advance Edu/training,934,No Data,5-7 Years,Female,No,Savings Account,37,House Owner,Services,No,Yes
Type B,Good,TV,630,0-200,0-2 Years,Married,Yes,Property - Real Estate,24,House Owner,Services,No,Yes
Type B,Good,TV,10973,1000+,5-7 Years,Male,Yes,No Security,25,House Owner,Skilled Labor,No,No
Type B,Good,TV,873,0-200,2-5 Years,Married,Yes,Property - Real Estate,27,House Owner,Services,No,Yes
Type B,Good,Buying a New Car,14568,No Data,Unemployed,Male,No,Savings Account,21,House Owner,Not Employed,No,No
Type B,Good,Support for Business,2783,200-500,7+ Years,Divorced,No,Vehicle,62,Renting,Services,No,No
Type B,Good,Buying a New Car,2169,0-200,2-5 Years,Female,Yes,No Security,24,House Owner,Skilled Labor,No,No
Type B,Good,Home furniture,2050,No Data,5-7 Years,Male,No,Vehicle,22,House Owner,Skilled Labor,No,Yes
Type B,Average (known delays),TV,7437,No Data,2-5 Years,Male,No,Property - Real Estate,28,House Owner,Services,No,Yes
Type B,Good,TV,818,0-200,7+ Years,Male,No,Vehicle,39,House Owner,Skilled Labor,No,No
Type B,Average (known delays),Buying a New Car,12186,No Data,Unemployed,Male,Yes,No Security,35,Free,Professional / Management,No,Yes
Type B,Good,TV,3077,0-200,5-7 Years,Male,No,Property - Real Estate,30,House Owner,Skilled Labor,No,No
Type B,critical,Buying a New Car,3894,200-500,0-2 Years,Divorced,No,Vehicle,38,House Owner,Skilled Labor,No,Yes
Type B,Average (known delays),All other,7599,200-500,Unemployed,Male,No,No Security,31,Free,Professional / Management,No,Yes
Type B,Good,TV,1112,0-200,2-5 Years,Female,Yes,Property - Real Estate,47,House Owner,Skilled Labor,No,Yes
Type B,Good,Buying a Used Car,9413,0-200,0-2 Years,Married,No,Vehicle,28,Renting,Professional / Management,No,No
Type B,Good,Home furniture,9968,0-200,0-2 Years,Female,No,Vehicle,28,House Owner,Skilled Labor,No,No
Type B,critical,Home furniture,2765,1000+,5-7 Years,Male,No,Vehicle,33,House Owner,Skilled Labor,No,Yes
Type B,Good,TV,3809,0-200,2-5 Years,Female,No,Vehicle,41,House Owner,Skilled Labor,No,No
Type B,Good,Home furniture,1242,0-200,2-5 Years,Female,No,Property - Real Estate,24,House Owner,Skilled Labor,No,No
Type B,Good,Buying a New Car,296,0-200,2-5 Years,Married,No,Property - Real Estate,24,Renting,Services,No,Yes
Type B,Good,All other,5399,No Data,Unemployed,Male,No,No Security,40,Free,Not Employed,No,Yes
Type B,Good,Buying a New Car,686,0-200,5-7 Years,Married,No,Vehicle,26,House Owner,Services,No,No
Type B,Good,Home furniture,4362,No Data,2-5 Years,Female,No,Savings Account,47,House Owner,Services,No,Yes
Type B,critical,Buying a New Car,4260,0-200,Unemployed,Married,No,Vehicle,30,House Owner,Professional / Management,No,No
Type B,Good,TV,1080,0-200,7+ Years,Male,No,Vehicle,28,House Owner,Skilled Labor,No,Yes
Type B,Good,Buying a New Car,7422,200-500,0-2 Years,Female,No,Savings Account,26,House Owner,Professional / Management,No,No
Type B,Good,TV,2104,0-200,0-2 Years,Female,Yes,Savings Account,25,House Owner,Services,No,Yes
Type B,Good,Home furniture,1539,0-200,2-5 Years,Divorced,No,Vehicle,31,House Owner,Services,No,Yes
Type B,critical,Learning / Edu purposes,5748,0-200,0-2 Years,Female,No,No Security,25,Free,Skilled Labor,No,No
Type B,Good,TV,3217,500-1000,0-2 Years,Married,No,Property - Real Estate,26,Renting,Skilled Labor,No,Yes
Type B,Good,Support for Business,4441,0-200,7+ Years,Male,Yes,Property - Real Estate,31,House Owner,Professional / Management,No,Yes
Type B,critical,TV,886,0-200,0-2 Years,Male,Yes,Property - Real Estate,22,House Owner,Skilled Labor,No,No
Type B,Good,TV,3764,500-1000,Unemployed,Female,No,No Security,24,Renting,Not Employed,No,Yes
Type B,critical,Learning / Edu purposes,1142,1000+,7+ Years,Male,No,No Security,34,Free,Skilled Labor,No,No
Type B,Good,Home furniture,969,0-200,2-5 Years,Female,No,Vehicle,27,House Owner,Skilled Labor,Yes,No
Type B,Good,Buying a New Car,1253,0-200,0-2 Years,Male,No,Property - Real Estate,23,House Owner,Services,No,No
Type B,Good,Learning / Edu purposes,1258,No Data,2-5 Years,Male,No,No Security,62,Free,Skilled Labor,No,Yes
Type B,Good,Home furniture,3015,0-200,5-7 Years,Female,No,Property - Real Estate,42,Renting,Skilled Labor,No,Yes
Type B,Average (known delays),All other,14792,200-500,7+ Years,Female,No,No Security,61,Free,Professional / Management,No,No
Type B,Good,Buying a New Car,14334,0-200,7+ Years,Male,No,No Security,55,Free,Professional / Management,No,No
Type B,Good,Buying a Used Car,12987,0-200,Unemployed,Female,No,No Security,36,Free,Professional / Management,No,No
Type B,critical,Home furniture,7390,0-200,Unemployed,Male,No,Savings Account,41,House Owner,Professional / Management,No,No
Type B,critical,Support for Business,2327,500-1000,2-5 Years,Male,No,Vehicle,25,House Owner,Skilled Labor,No,Yes
